ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2016/05/05 18:23:45"
"Settings=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Margreet\Block setttings\3x8-22x18 HMO 3rd-3.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Anthony\05_04_2016\10087926_gain 400.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/#2)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=45, 0"
"JpegOrigin=45, 715"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4000B [86761]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=3.32"
"Filters=<Empty>"
"ScanRegion=9,0,4400,14300"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/#2)"	"Ratio of Means (635/#2)"	"Median of Ratios (635/#2)"	"Mean of Ratios (635/#2)"	"Ratios SD (635/#2)"	"Rgn Ratio (635/#2)"	"Rgn R2 (635/#2)"	"Log Ratio (635/#2)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/#2)"	"Sum of Means (635/#2)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	16	3	""	""	4145	1695	200	31	33	13	39	31	31	36	41	113	1	0	0	42001	-0.073	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	1272	3102	100	52
0	0	0	1	17	3	""	""	4405	1695	200	31	35	14	40	33	33	47	79	168	0	0	0	44406	-0.152	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-2	2	-2	2	1272	3390	100	53
0	0	0	1	18	3	""	""	4665	1695	200	32	40	54	135	32	32	36	28	77	6	2	0	50446	0.143	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	8	0	8	1272	3906	100	54
0	0	0	1	1	4	""	""	150	1920	200	30	33	10	30	29	29	30	17	56	10	1	0	41580	0.176	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	3013	100	55
0	0	0	1	2	4	""	""	410	1920	200	37	43	31	72	30	30	32	18	56	19	8	0	54418	0.611	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	7	13	7	13	1272	4220	100	56
0	0	0	1	3	4	""	""	670	1920	200	37	49	34	69	31	31	33	18	54	24	16	0	61953	0.889	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	18	6	18	1272	4220	100	57
0	0	0	1	4	4	""	""	930	1920	200	37	48	34	70	31	31	32	13	40	28	18	0	61569	1.231	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	17	6	17	1272	4179	100	58
0	0	0	1	5	4	""	""	1185	1925	200	38	52	35	67	32	32	35	15	42	30	19	0	65594	1.133	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	20	6	20	1272	4168	100	59
0	0	0	1	6	4	""	""	1445	1925	200	35	46	32	69	31	31	35	20	57	20	14	0	59042	0.550	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	15	4	15	1272	4821	100	60
0	0	0	1	7	4	""	""	1805	1955	200	31	32	13	40	29	29	31	11	35	9	2	0	40895	0.091	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	3778	100	61
0	0	0	1	8	4	""	""	2065	1955	200	29	30	7	23	31	31	33	9	27	5	1	0	37900	-0.333	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-2	-1	-2	-1	1272	3149	100	62
0	0	0	1	9	4	""	""	2325	1955	200	34	38	50	131	32	32	34	24	70	3	1	0	48235	0.167	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	6	2	6	1272	3149	100	63
0	0	0	1	10	4	""	""	2585	1955	200	32	38	56	147	31	31	35	40	114	3	1	0	48759	0.075	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	7	1	7	1272	3149	100	64
0	0	0	1	11	4	""	""	2845	1955	200	29	32	23	71	30	30	34	43	126	1	1	0	40530	-0.047	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	2	-1	2	1272	3707	100	65
0	0	0	1	12	4	""	""	3185	1920	200	30	32	16	50	31	31	47	100	212	0	0	0	41301	-0.150	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	1	-1	1	1272	3581	100	66
0	0	0	1	13	4	""	""	3445	1920	200	35	88	178	202	30	30	47	94	200	14	8	0	111667	0.436	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	58	5	58	1272	3023	100	67
0	0	0	1	14	4	""	""	3705	1920	200	33	71	140	197	29	29	31	10	32	23	16	0	90330	4.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	42	4	42	1272	3405	100	68
0	0	0	1	15	4	""	""	4015	1915	200	31	76	169	222	29	29	31	18	58	17	14	0	96988	2.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	47	2	47	1272	3035	100	69
0	0	0	1	16	4	""	""	4230	1920	200	34	43	48	111	33	33	50	89	178	3	2	0	54851	-0.079	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	10	1	10	1272	2678	100	70
0	0	0	1	17	4	""	""	4495	1925	200	30	45	58	128	31	31	49	89	181	6	2	0	57006	-0.045	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	14	-1	14	1272	2677	100	71
0	0	0	1	18	4	""	""	4710	1925	200	30	35	41	117	30	30	41	85	207	1	1	0	44582	-0.071	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	5	0	5	1272	3970	100	72
0	0	0	1	1	5	""	""	245	2215	200	33	37	78	210	30	30	32	16	50	6	2	0	47348	0.313	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	7	3	7	1272	4415	100	73
0	0	0	1	2	5	""	""	505	2215	200	33	35	15	42	31	31	33	20	60	7	2	0	44818	0.100	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	4	2	4	1272	4219	100	74
0	0	0	1	3	5	""	""	765	2215	200	35	37	11	29	31	31	33	15	45	11	2	0	46652	0.267	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	6	4	6	1272	4219	100	75
0	0	0	1	4	5	""	""	1025	2215	200	35	37	12	32	33	33	38	53	139	1	0	0	47543	-0.019	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	4	2	4	1272	4186	100	76
0	0	0	1	5	5	""	""	1285	2215	200	43	50	44	88	35	35	41	39	95	8	3	0	63961	0.231	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	8	15	8	15	1272	4165	100	77
0	0	0	1	6	5	""	""	1545	2215	200	41	49	31	63	34	34	45	50	111	7	2	0	61746	0.080	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	7	15	7	15	1272	3824	100	78
0	0	0	1	7	5	""	""	1745	2170	200	33	80	138	172	29	29	37	47	127	16	15	0	101696	0.915	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	51	4	51	1272	3447	100	79
0	0	0	1	8	5	""	""	1995	2165	200	30	80	157	196	29	29	31	10	32	21	17	0	102203	4.900	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	51	1	51	1272	3497	100	80
0	0	0	1	9	5	""	""	2255	2165	200	37	88	131	148	31	31	33	19	57	27	20	0	111467	2.895	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	57	6	57	1272	3581	100	81
0	0	0	1	10	5	""	""	2515	2165	200	36	104	163	156	29	29	32	25	78	24	20	0	131768	2.880	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	7	75	7	75	1272	3581	100	82
0	0	0	1	11	5	""	""	2775	2165	200	34	101	168	166	28	28	30	11	36	31	22	0	128272	6.455	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	6	73	6	73	1272	3581	100	83
0	0	0	1	12	5	""	""	3035	2165	200	31	90	153	170	28	28	32	50	156	18	17	0	114462	1.160	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	62	3	62	1272	4138	100	84
0	0	0	1	13	5	""	""	3295	2165	200	34	72	106	147	29	29	34	46	135	16	13	0	91335	0.826	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	43	5	43	1272	4022	100	85
0	0	0	1	14	5	""	""	3555	2165	200	34	73	111	152	30	30	32	15	46	23	18	0	92301	2.733	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	43	4	43	1272	4022	100	86
0	0	0	1	15	5	""	""	3815	2165	200	34	73	110	150	29	29	32	33	103	17	14	0	92614	1.242	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	44	5	44	1272	4249	100	87
0	0	0	1	16	5	""	""	4075	2165	200	34	74	120	162	30	30	32	15	46	25	18	0	94446	2.800	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	44	4	44	1272	3949	100	88
